term,category,meaning,translation,aliases,examples,notes
hits different,Gen Z,Affects you in a special or unusual way,feels uniquely good,slaps;just better somehow,"Coffee at 6am hits different","Hard to explain but widely understood"
understood the assignment,Gen Z,Performed exactly as expected,totally nailed what was needed,delivered;executed perfectly,"The design team understood the assignment","High praise for execution"
it's giving,Gen Z,It has a certain energy or resembles something,it feels like / reminds me of,radiates;screams,"This campaign is giving luxury","Usually followed by a vibe"
rent free,Gen Z,When something occupies your thoughts constantly,can't stop thinking about it,living in my head;obsessed,"That error message is living rent free","About mental preoccupation"
ate,Gen Z,Did something perfectly and impressively,absolutely crushed it / did it perfectly,slayed;killed it,"She ate that presentation","Past tense of 'eat'"
W,Gen Z,A win or success,total win / great outcome,win;victory,"That's a huge W for the team","Opposite of L"
L,Gen Z,A loss or failure,total failure / bad outcome,loss;fail,"Taking an L on this one","Opposite of W"
mid,Gen Z,Mediocre; average; unremarkable,just okay / nothing special,average;meh,"That feature is kinda mid","Short for 'middle of the road'"
NPC,Gen Z,A person who acts without independent thought,someone who just follows along without thinking,background character;basic,"He's such an NPC in meetings","From gaming — non-player character"
rizz,Gen Z,Natural charm or charisma especially in attracting others,natural charm / confidence around people,charisma;swag,"He's got serious rizz","Recently added to Oxford dictionary"
slaps,Gen Z,Something that is extremely good,absolutely amazing / hits hard,bangs;bops,"This playlist slaps","Often about music"
dead,Gen Z,Finding something so funny you can't handle it,I'm literally dying laughing,I'm deceased;💀,"I'm dead this email is hilarious","Hyperbolic expression of amusement"
periodt,Gen Z,Emphasises a definitive statement with no room for debate,and that's final / end of discussion,period;full stop,"We're the best team periodt","Variation of 'period'"
beige flag,Gen Z,A quirky habit that's not bad just a little odd,a weird but harmless trait,quirky;unusual,"Their meeting style is a total beige flag","Variation on red/green flag"
delulu,Gen Z,Delusional in a humorous or self-aware way,kidding yourself / wishful thinking,delusional;unrealistic,"I'm being a bit delulu about the timeline","Self-deprecating or playful"
era,Gen Z,A distinct phase or period someone is currently in,phase you're in right now,phase;chapter,"I'm in my productive era","Often 'in my X era'"
main character,Gen Z,Acting like the protagonist of your own story,acting like everything revolves around you,protagonist;spotlight energy,"She's giving main character energy today","Can be positive or negative"
glazing,Gen Z,Excessively praising or hyping someone,brown-nosing / being a total yes-person,simping;bootlicking,"Stop glazing the boss like that","Negative connotation"
ratio,Gen Z,When a reply gets more engagement than the original post,getting completely dunked on online,owned;roasted,"That tweet got ratioed badly","Originated on Twitter/X"
touch grass,Gen Z,To go outside and experience reality,go outside / get a reality check,go outside;cope,"He needs to touch grass after that meeting","Advice to disconnect from the internet"
cooked,Gen Z,In serious trouble or a hopeless situation,we're in deep trouble / it's over,done;finished;stick a fork in it,"If we miss this deadline we're cooked","Similar to 'we're done'"
